State_Code,District,Type,Status,Count
UP,Kushinagar,delta7,vaccinated1,16785
UP,Kushinagar,delta7,vaccinated2,46465
UP,Kushinagar,meta,population,3560830
UP,Kushinagar,total,confirmed,15617
UP,Kushinagar,total,deceased,228
UP,Kushinagar,total,recovered,15389
UP,Kushinagar,total,tested,314772
UP,Kushinagar,total,vaccinated1,1632782
UP,Kushinagar,total,vaccinated2,458054
UP,Lakhimpur Kheri,delta,vaccinated1,1183
UP,Lakhimpur Kheri,delta,vaccinated2,1370
UP,Lakhimpur Kheri,delta7,confirmed,1
UP,Lakhimpur Kheri,delta7,vaccinated1,46453
UP,Lakhimpur Kheri,delta7,vaccinated2,51586
UP,Lakhimpur Kheri,meta,population,4013634
UP,Lakhimpur Kheri,total,confirmed,24410
UP,Lakhimpur Kheri,total,deceased,292
UP,Lakhimpur Kheri,total,recovered,24117
UP,Lakhimpur Kheri,total,tested,368533
UP,Lakhimpur Kheri,total,vaccinated1,1829019
UP,Lakhimpur Kheri,total,vaccinated2,382178
UP,Lalitpur,delta,vaccinated1,4
UP,Lalitpur,delta,vaccinated2,8
UP,Lalitpur,delta7,confirmed,1
UP,Lalitpur,delta7,vaccinated1,8010
UP,Lalitpur,delta7,vaccinated2,13539
UP,Lalitpur,meta,population,1218002
UP,Lalitpur,total,confirmed,12742
UP,Lalitpur,total,deceased,128
UP,Lalitpur,total,recovered,12613
UP,Lalitpur,total,tested,21781
UP,Lalitpur,total,vaccinated1,627553
UP,Lalitpur,total,vaccinated2,143519
UP,Lucknow,delta,vaccinated1,10826
UP,Lucknow,delta,vaccinated2,11083
UP,Lucknow,delta21_14,confirmed,15
UP,Lucknow,delta7,confirmed,10
UP,Lucknow,delta7,recovered,10
UP,Lucknow,delta7,vaccinated1,69404
UP,Lucknow,delta7,vaccinated2,107763
UP,Lucknow,meta,population,4588455
UP,Lucknow,total,confirmed,238839
UP,Lucknow,total,deceased,2651
UP,Lucknow,total,recovered,236165
UP,Lucknow,total,tested,1237583
UP,Lucknow,total,vaccinated1,3106658
UP,Lucknow,total,vaccinated2,1488333
UP,Maharajganj,delta,vaccinated1,53
UP,Maharajganj,delta,vaccinated2,316
UP,Maharajganj,delta21_14,confirmed,1
UP,Maharajganj,delta7,vaccinated1,20643
UP,Maharajganj,delta7,vaccinated2,36312
UP,Maharajganj,meta,population,2665292
UP,Maharajganj,total,confirmed,12440
UP,Maharajganj,total,deceased,140
UP,Maharajganj,total,recovered,12300
UP,Maharajganj,total,tested,334716
UP,Maharajganj,total,vaccinated1,1283534
UP,Maharajganj,total,vaccinated2,372559
UP,Mahoba,delta,vaccinated1,10
UP,Mahoba,delta,vaccinated2,9
UP,Mahoba,delta7,vaccinated1,4765
UP,Mahoba,delta7,vaccinated2,8960
UP,Mahoba,meta,population,876055
UP,Mahoba,total,confirmed,4268
UP,Mahoba,total,deceased,86
UP,Mahoba,total,recovered,4182
UP,Mahoba,total,tested,142992
UP,Mahoba,total,vaccinated1,444352
UP,Mahoba,total,vaccinated2,148388
UP,Mainpuri,delta,vaccinated1,647
UP,Mainpuri,delta,vaccinated2,1354
UP,Mainpuri,delta7,vaccinated1,31507
UP,Mainpuri,delta7,vaccinated2,37443
UP,Mainpuri,meta,population,1847194
UP,Mainpuri,total,confirmed,10028
UP,Mainpuri,total,deceased,182
UP,Mainpuri,total,recovered,9846
UP,Mainpuri,total,tested,228496
UP,Mainpuri,total,vaccinated1,860461
UP,Mainpuri,total,vaccinated2,219990
UP,Mathura,delta,vaccinated1,63
UP,Mathura,delta,vaccinated2,164
UP,Mathura,delta7,confirmed,1
UP,Mathura,delta7,recovered,1
UP,Mathura,delta7,vaccinated1,10807
UP,Mathura,delta7,vaccinated2,23027
UP,Mathura,meta,population,2541894
